Nome;Versão;Tipo;Dinâmica;Descrição;IMAGEM;Observação;Arte;Prompt Arte
Véu da Vigília Eterna;v1;Temático-Permanente;Imunidade recorrente;"O personagem equipado é imune ao primeiro Debuff que receber a cada turno; a vigília do destacamento nunca dorme, nem por um instante.";;"Cobre imunidades amplas em sua forma recorrente (uma vez por turno), assinatura de Divino.";item-veu-da-vigilia-eterna-v1.png;"Véu fino e translúcido de tecido etéreo, esvoaçando suavemente ao redor de uma silhueta indistinta como uma proteção constante, quase imperceptível mas sempre presente; luz difusa e uniforme; fundo de terraços suspensos do Jardim do Véu das Plumas; paleta de branco-perolado quase transparente e dourado-suave; linha de arte inspirada na Estação das Brumas, composição serena e protetora, sensação de vigilância silenciosa e ininterrupta. Proporção 1:1"
Grade da Última Guarda;v1;Temático-Permanente;Imunidade em massa;"O time todo é imune a efeitos que reduzam a Vida abaixo de 1 até o fim do turno em que for ativado; a última guarda do destacamento não deixa ninguém cair sozinho.";;"Cobre imunidades amplas em escala de time, fechando as 4 palavras-chave de assinatura de Divino na cota de Itens do tipo junto com o Véu da Vigília Eterna.";item-grade-da-ultima-guarda-v1.png;"Grade luminosa e translúcida feita de linhas douradas entrelaçadas, formando uma barreira protetora ao redor de um grupo indistinto de figuras, cada linha da grade pulsando suavemente em sincronia; fundo de névoa densa do Interregno; paleta de dourado-protetor e branco-perolado; linha de arte inspirada na Estação das Brumas, composição ampla e protetora, sensação de proteção coletiva ativada no momento crítico. Proporção 1:1"
Fratura do Descanso;v1;Épico-Volátil;Dano em área com recoil;"Fratura XPTO (Cósmico) — cause 5 pontos de dano a todos os personagens do oponente e 2 pontos de dano a todos os seus próprios personagens; o instante exato em que a entidade adormecida foi arrancada do sono e jogada no Torneio, uma fúria sem fim que não distingue lados.";;"Slot Épico único da Astraca Primordial (cópia única; se for ao descarte, é removido do jogo). Reforça ataque expansível/dano em área com efeito de recoil no próprio controlador, cobrindo duas das 4 palavras-chave de assinatura de Cósmico simultaneamente. Efeito determinístico, sem Aposte.";item-fratura-do-descanso-v1.png;"Instante exato de um despertar cósmico violento, uma onda de energia roxo-avermelhada se expandindo em todas as direções a partir de um ponto central de distorção espacial, atingindo indiscriminadamente fragmentos estelares de ambos os lados; pontilhado granular intenso no estilo 'Kirby Krackle' ao longo de toda a onda de choque; fundo de vácuo estrelado sendo rasgado pela expansão; paleta de roxo-fúria intenso, vermelho-recoil e preto-vácuo; linha de arte no estilo do Quarto Mundo de Kirby, composição explosiva e simétrica, sensação de fúria indiscriminada e catastrófica. Proporção 1:1"
Núcleo em Expansão;v1;Lendário-Permanente;Ataque expansível;"A próxima ação de dano do personagem equipado causa +1 de dano para cada energia anexada a ele; um núcleo que cresce junto com o poder que absorve.";;"Cópia única (Lendário). Cobre ataque expansível de forma direta e recorrente, assinatura de Cósmico.";item-nucleo-em-expansao-v1.png;"Núcleo esférico de energia cósmica pulsante, camadas concêntricas de luz roxo-violeta se expandindo lentamente para fora a cada pulsação, pontilhado granular denso ao redor no estilo 'Kirby Krackle'; flutuando isolado no vácuo profundo; paleta de roxo-violeta intenso e branco-plasma no centro; linha de arte no estilo do Quarto Mundo de Kirby, composição radial e crescente, sensação de poder em constante amplificação. Proporção 1:1"
Chifre do Titã Adormecido;v1;Lendário-Volátil;Ataque expansível coletivo;"Causa dano igual ao número de energias anexadas a todos os personagens do seu time somadas; um único chifre que carrega o peso de todo um titã em repouso.";;"Cópia única (Lendário). Cobre ataque expansível em escala coletiva, assinatura de Cósmico.";item-chifre-do-titan-adormecido-v1.png;"Chifre colossal de rocha estelar escura, superfície coberta de rachaduras luminosas que pulsam em sincronia crescente, flutuando isolado no vácuo como um fragmento desprendido de um titã maior; pontilhado granular intenso emanando de cada rachadura; fundo de vácuo estrelado profundo; paleta de preto-rocha e roxo-luminoso intenso; linha de arte no estilo do Quarto Mundo de Kirby, composição monumental e concentrada, sensação de poder coletivo canalizado em um só ponto. Proporção 1:1"
Herança Estelar;v1;Lendário-Permanente;Devoção/Alteração de tipo;"O personagem equipado pode ser tratado como sendo de qualquer tipo para fins de Resistência/Fraqueza, à escolha do controlador a cada combate; entidades antigas que carregam em si a herança de todos os tipos que um dia existiram.";;"Cópia única (Lendário). Cobre Devoção/alteração de tipo em sua forma mais flexível (escolha a cada combate), assinatura de Cósmico.";item-heranca-estelar-v1.png;"Coroa fragmentada e assimétrica feita de estilhaços de diferentes cristais coloridos, cada um pulsando com uma cor distinta representando um tipo diferente, flutuando ao redor da cabeça de uma silhueta indistinta; pontilhado granular sutil ao redor de cada fragmento colorido; fundo de vácuo estrelado; paleta multicolorida controlada contra preto-vácuo profundo; linha de arte no estilo do Quarto Mundo de Kirby, composição diversa mas unificada, sensação de herança múltipla convergindo em uma só entidade. Proporção 1:1"
Fragmento sem Nome;v1;Temático-Volátil;Devoção/Alteração de tipo;"O personagem alvo perde seu tipo atual e se torna do tipo Cósmico até o fim da partida; nem todo fragmento desperto carrega um nome — alguns só carregam o tipo que impõem aos outros.";;"Cobre Devoção/alteração de tipo aplicada ao alvo (em vez de ao próprio personagem, diferenciando da Herança Estelar).";item-fragmento-sem-nome-v1.png;"Pequeno fragmento estelar sem forma definida, quase líquido, tocando levemente uma silhueta indistinta que começa a se cristalizar visualmente com as mesmas rachaduras luminosas roxo-violeta do fragmento; pontilhado granular se espalhando do ponto de contato; fundo de vácuo estrelado; paleta de roxo-violeta se espalhando sobre tons neutros; linha de arte no estilo do Quarto Mundo de Kirby, composição de contágio visual gradual, sensação de identidade sendo reescrita por contato direto. Proporção 1:1"
Cadeia de Supernovas;v1;Temático-Volátil;Ataque expansível condicional;"Causa 3 pontos de dano; se houver 3 ou mais energias anexadas ao personagem que usa, o dano dobra; uma cadeia de explosões que só atinge sua escala total quando há energia suficiente acumulada.";;"Cobre ataque expansível em formato de limiar (threshold) em vez de escala contínua, variando a mecânica dentro da mesma palavra-chave de assinatura.";item-cadeia-de-supernovas-v1.png;"Sequência de pequenas explosões estelares concêntricas se propagando em cadeia pelo vácuo, cada uma maior que a anterior, culminando em um clarão branco-plasma intenso; pontilhado granular denso ao longo de toda a cadeia no estilo 'Kirby Krackle'; fundo de vácuo profundo sendo iluminado pela sequência; paleta de laranja-supernova, roxo-violeta e branco-plasma; linha de arte no estilo do Quarto Mundo de Kirby, composição em cadeia crescente, sensação de reação em cadeia se intensificando. Proporção 1:1"
Implosão Compartilhada;v1;Temático-Volátil;Recoil/Custo colateral;"Causa 4 pontos de dano ao alvo e 1 ponto de dano a um aliado à escolha; nem toda implosão cósmica distingue quem está por perto.";;"Cobre recoil/custo colateral direcionado a um aliado à escolha, assinatura de Cósmico.";item-implosao-compartilhada-v1.png;"Ponto de colapso gravitacional pequeno mas intenso, puxando fragmentos de luz de duas direções diferentes simultaneamente, uma delas visivelmente maior que a outra; pontilhado granular denso ao redor do ponto de colapso no estilo 'Kirby Krackle'; fundo de vácuo estrelado; paleta de roxo-implosão profundo e branco-plasma nos pontos de atração; linha de arte no estilo do Quarto Mundo de Kirby, composição de atração dupla e desigual, sensação de dano que não poupa proximidade. Proporção 1:1"
Tempestade sem Fim;v1;Temático-Volátil;Ataque expansível em área;"Causa 1 ponto de dano a todos os personagens do oponente para cada energia anexada ao personagem que usa a carta; uma tempestade cósmica que não escolhe onde parar.";;"Cobre ataque expansível combinado a dano em área, unindo duas palavras-chave de assinatura de Cósmico na mesma carta.";item-tempestade-sem-fim-v1.png;"Tempestade cósmica ampla e contínua, múltiplos raios de energia roxo-violeta se espalhando simultaneamente em várias direções a partir de um núcleo central instável; pontilhado granular denso cobrindo toda a extensão da tempestade no estilo 'Kirby Krackle'; fundo de vácuo estrelado sendo atravessado por múltiplos feixes; paleta de roxo-tempestade intenso e branco-plasma nos raios; linha de arte no estilo do Quarto Mundo de Kirby, composição ampla e ramificada, sensação de fúria que se espalha sem limite definido. Proporção 1:1"
Grito do Vácuo Desperto;v1;Temático-Volátil;Recoil não-Vida;"Causa 6 pontos de dano ao alvo; o personagem que usa esta carta não pode atacar no próximo turno; um grito tão intenso que exige silêncio total logo em seguida.";;"Cobre recoil em sua variante de custo não-Vida (perda de ação futura em vez de dano direto ao controlador), diversificando a cobertura da palavra-chave.";item-grito-do-vacuo-desperto-v1.png;"Onda de energia sonora visualizada como uma explosão de luz branca-violeta se expandindo de um ponto central, seguida imediatamente por um vácuo de silêncio absoluto representado por uma esfera escura ao redor do ponto de origem; pontilhado granular intenso na explosão, ausência total dele na esfera de silêncio subsequente; fundo de vácuo estrelado; paleta de branco-plasma explosivo contra preto-silêncio absoluto; linha de arte no estilo do Quarto Mundo de Kirby, composição de contraste entre explosão e vazio subsequente, sensação de poder que exige uma pausa forçada. Proporção 1:1"
Onda do Vácuo;v1;Temático-Volátil;Dano em área;"Causa 2 pontos de dano a todos os personagens do oponente; o vácuo não escolhe um só alvo — atinge tudo o que respira dentro de seu alcance.";;"Fecha a cobertura das 4 palavras-chave de assinatura de Cósmico na cota de Itens da Astraca Primordial, cobrindo alvos múltiplos/dano em área em sua forma mais simples e direta.";item-onda-do-vacuo-v1.png;"Onda circular expansiva de energia escura e densa se propagando uniformemente em todas as direções a partir de um ponto central no vácuo, atingindo igualmente múltiplos fragmentos estelares distantes; pontilhado granular moderado ao longo da borda da onda no estilo 'Kirby Krackle'; fundo de vácuo estrelado vasto; paleta de preto-vácuo profundo com uma borda roxo-pálida na onda; linha de arte no estilo do Quarto Mundo de Kirby, composição circular e abrangente, sensação de alcance total e indiscriminado. Proporção 1:1"
Cinto de Utilidade;v1;Genérico-Permanente;Buff simples;"O personagem equipado ganha +1 de Defesa; um item comum a qualquer arsenal, de qualquer mundo do Torneio.";;"Item genérico sem afinidade de tipo, encaixável em qualquer estratégia. Efeito determinístico.";item-cinto-de-utilidade-v1.png;"Cinto de couro simples e funcional, diversas pequenas bolsas e ferramentas variadas presas ao redor, sem ornamentação de nenhum tipo específico, pousado sobre uma superfície neutra; luz uniforme e neutra, sem indicação de mundo de origem; paleta de tons terrosos neutros de couro e metal; linha de arte funcional e discreta, composição minimalista, sensação de utilidade genérica e universal. Proporção 1:1"
Amuleto Neutro;v1;Genérico-Permanente;Fixing de energia;"Gera 1 energia de qualquer tipo à escolha ao ser anexado; não pertence a nenhum dos cinco mundos, e por isso serve a todos igualmente.";;"Item genérico de fixing, sem afinidade de tipo. Efeito determinístico.";item-amuleto-neutro-v1.png;"Amuleto circular simples, superfície lisa e sem gravações identificáveis de nenhum tipo específico, pendurado por um cordão neutro contra um fundo cinza uniforme; um leve brilho ambíguo emanando do centro, sem cor definida; paleta de tons cinza-prateados neutros; linha de arte funcional e discreta, composição centralizada e simples, sensação de neutralidade deliberada entre todos os tipos. Proporção 1:1"
Escudo Comum;v1;Genérico-Permanente;Escudo;"O personagem equipado ganha 2 tokens de Escudo ao entrar em jogo; um escudo básico, sem gravações ou afinidade, mas confiável em qualquer combate.";;"Item genérico de Escudo puro, sem afinidade de tipo. Efeito determinístico.";item-escudo-comum-v1.png;"Escudo redondo simples de metal fosco, sem brasão ou símbolo de nenhum tipo específico, algumas marcas de uso genérico na superfície, apoiado contra um fundo neutro; luz uniforme e discreta; paleta de cinza-metálico neutro; linha de arte funcional, composição direta e sólida, sensação de proteção básica e confiável. Proporção 1:1"
Capa de Fuga;v1;Genérico-Permanente;Desviar;"Uma vez por combate, o personagem equipado pode usar Desviar mesmo sem ter essa palavra-chave nativamente; um tecido leve o bastante para redirecionar qualquer golpe, de qualquer origem.";;"Item genérico que concede Desviar, sem afinidade de tipo. Efeito determinístico.";item-capa-de-fuga-v1.png;"Capa leve e simples de tecido cinza-neutro, esvoaçando em movimento sugerido, sem símbolo ou padrão de nenhum tipo específico, suspensa contra um fundo neutro; leve efeito de desfoque na borda da capa sugerindo movimento rápido; paleta de cinza-neutro e um leve brilho branco-azulado nas bordas; linha de arte funcional, composição dinâmica mas discreta, sensação de evasão universal. Proporção 1:1"
Espelho de Retaliação;v1;Genérico-Permanente;Reflexão;"Uma vez por combate, o personagem equipado pode usar Reflexão mesmo sem tê-la nativamente; um espelho simples que devolve qualquer golpe, de qualquer natureza.";;"Item genérico que concede Reflexão, sem afinidade de tipo. Efeito determinístico.";item-espelho-de-retaliacao-v1.png;"Espelho de mão simples com moldura metálica neutra, sem ornamentação de tipo específico, refletindo uma luz genérica e neutra contra um fundo cinza uniforme; leve distorção sutil na superfície refletora; paleta de cinza-prateado neutro; linha de arte funcional, composição centralizada, sensação de retaliação universal e discreta. Proporção 1:1"
Talismã de Persistência;v1;Genérico-Permanente;Anti-Amedrontar;"O personagem equipado não pode ser alvo de efeitos que o movam de posição contra a vontade do controlador; um talismã simples que ancora quem o carrega, não importa a origem da força contrária.";;"Item genérico de proteção posicional, sem afinidade de tipo. Efeito determinístico.";item-talisma-de-persistencia-v1.png;"Pequeno talismã de pedra lisa e neutra pendurado por um cordão simples, símbolo genérico e abstrato gravado na superfície sem remeter a nenhum tipo específico, contra um fundo cinza uniforme; leve brilho estável e constante emanando da pedra; paleta de cinza-pedra neutro e um leve dourado discreto; linha de arte funcional, composição simples e estável, sensação de ancoragem confiável. Proporção 1:1"
Corrente de Reserva;v1;Genérico-Permanente;Fixing condicional;"No início do turno, se você não tiver Fontes de Energia em jogo, ganhe 1 energia genérica; uma corrente de reserva para quando os recursos usuais se esgotam.";;"Item genérico de fixing condicional, sem afinidade de tipo. Efeito determinístico.";item-corrente-de-reserva-v1.png;"Corrente metálica simples e neutra enrolada sobre si mesma, um único elo brilhando fracamente de forma diferente dos demais, sugerindo uma reserva de energia guardada; fundo cinza uniforme; paleta de cinza-metálico neutro com um leve brilho ambíguo no elo destacado; linha de arte funcional, composição circular e simples, sensação de reserva discreta sempre disponível. Proporção 1:1"
Colar de Vigilância;v1;Genérico-Permanente;Prever genérico;"Uma vez por turno, olhe a carta do topo do seu próprio deck; um colar simples que mantém quem o usa sempre um passo à frente, sem depender de nenhuma escola de poder específica.";;"Item genérico de Prever, sem afinidade de tipo. Efeito determinístico.";item-colar-de-vigilancia-v1.png;"Colar simples de contas neutras e foscas, uma pequena conta central levemente mais brilhante que as demais, pendurado contra um fundo cinza uniforme; leve reflexo sutil na conta central; paleta de tons neutros de pedra e metal; linha de arte funcional, composição centralizada e discreta, sensação de vigilância constante e discreta. Proporção 1:1"
Placa de Time;v1;Genérico-Permanente;Buff de time;"Personagens na posição de time ganham +1 de Defesa; uma placa simples que reforça quem luta em conjunto, não importa a formação.";;"Item genérico de suporte posicional, sem afinidade de tipo. Efeito determinístico.";item-placa-de-time-v1.png;"Placa metálica retangular simples e neutra, sem brasão específico, apoiada contra um fundo cinza uniforme, superfície levemente reforçada nas bordas; luz uniforme e discreta; paleta de cinza-metálico neutro; linha de arte funcional, composição simples e estável, sensação de suporte coletivo discreto. Proporção 1:1"
Emblema do Líder;v1;Genérico-Permanente;Buff de líder;"O personagem na posição principal ganha +1 de Atk; um emblema simples que reconhece quem lidera, seja qual for a origem dessa liderança.";;"Item genérico de suporte posicional, sem afinidade de tipo. Efeito determinístico.";item-emblema-do-lider-v1.png;"Pequeno emblema circular metálico e neutro, símbolo abstrato e genérico gravado ao centro sem remeter a nenhum tipo específico, pendurado contra um fundo cinza uniforme; leve brilho dourado discreto ao redor da borda; paleta de cinza-metálico neutro com dourado sutil; linha de arte funcional, composição centralizada, sensação de reconhecimento discreto de liderança. Proporção 1:1"
Bolsa sem Fundo;v1;Genérico-Permanente;Redução de custo;"O custo de Extinguir Recurso de suas próprias ações é reduzido em 1; uma bolsa simples que parece sempre ter espaço extra, não importa o que se guarde nela.";;"Item genérico de redução de custo, sem afinidade de tipo. Efeito determinístico.";item-bolsa-sem-fundo-v1.png;"Bolsa de tecido simples e neutro, aberta o suficiente para sugerir um interior mais profundo do que deveria ser fisicamente possível, contra um fundo cinza uniforme; leve efeito de distorção sutil na abertura da bolsa; paleta de tons terrosos neutros; linha de arte funcional, composição simples, sensação de espaço extra discreto e prático. Proporção 1:1"
Selo de Fixação;v1;Genérico-Permanente;Proteção de recurso;"Fontes de Energia anexadas a este personagem não podem ser destruídas pelo oponente; um selo simples que ancora recursos no lugar, não importa a escola de poder de quem tenta removê-los.";;"Item genérico de proteção de recurso, sem afinidade de tipo. Efeito determinístico.";item-selo-de-fixacao-v1.png;"Pequeno selo circular gravado com um símbolo simples de ancoragem, aplicado sobre uma superfície neutra, brilho fraco e constante ao redor da borda do selo; fundo cinza uniforme; paleta de cinza-metálico neutro com um leve brilho azul-fixação; linha de arte funcional, composição centralizada e estável, sensação de proteção firme e discreta. Proporção 1:1"
Manopla de Combo;v1;Genérico-Permanente;Suporte a combo;"Uma vez por partida, ignore o custo de Aposte exigido por uma palavra-chave de combo (Starter/Combo/Finisher/Tag); uma manopla simples que facilita o encaixe de qualquer combo, de qualquer origem.";;"Item genérico de suporte a combo genérico (Aposte, Duplicar, Tag), sem afinidade de tipo. Efeito determinístico.";item-manopla-de-combo-v1.png;"Manopla simples de couro reforçado e metal neutro, articulações visíveis nos dedos, sem ornamentação de tipo específico, pousada contra um fundo cinza uniforme; leve brilho discreto nas articulações; paleta de tons neutros de couro e metal; linha de arte funcional, composição direta, sensação de encaixe preciso e prático. Proporção 1:1"
Poção de Vigor;v1;Genérico-Volátil;Cura;"Cura 2 pontos de Vida a um personagem aliado à escolha; uma poção simples, sem escola de origem, eficaz em qualquer corpo.";;"Item genérico de cura, sem afinidade de tipo. Efeito determinístico.";item-pocao-de-vigor-v1.png;"Frasco de vidro simples contendo um líquido de cor neutra e levemente luminosa, rolha de cortiça comum, pousado contra um fundo cinza uniforme; leve brilho suave emanando do líquido; paleta de tons neutros com um brilho verde-azulado discreto; linha de arte funcional, composição centralizada, sensação de alívio simples e confiável. Proporção 1:1"
Fagulha Neutra;v1;Genérico-Volátil;Fixing de energia;"Gere 2 energias de qualquer tipo à escolha, utilizáveis neste turno; uma fagulha sem cor definida, pronta para se adaptar a qualquer necessidade.";;"Item genérico de fixing, sem afinidade de tipo. Efeito determinístico.";item-fagulha-neutra-v1.png;"Pequena fagulha de energia flutuante e instável, cor ambígua que parece mudar sutilmente dependendo do ângulo, suspensa contra um fundo cinza uniforme; leve efeito de brilho pulsante; paleta neutra com reflexos multicoloridos discretos; linha de arte funcional, composição simples e central, sensação de energia adaptável e disponível. Proporção 1:1"
Corte Rápido;v1;Genérico-Volátil;Dano direto;"Causa 2 pontos de dano direto ao alvo, sem outros efeitos; um golpe simples e eficiente, sem escola de origem.";;"Item genérico de dano direto, sem afinidade de tipo. Efeito determinístico.";item-corte-rapido-v1.png;"Lâmina curta e simples em pleno movimento de corte rápido, sem ornamentação de tipo específico, um leve rastro de movimento sugerindo velocidade; fundo cinza uniforme; paleta de cinza-metálico neutro; linha de arte funcional, composição dinâmica e direta, sensação de eficiência simples e imediata. Proporção 1:1"
Reviravolta Tática;v1;Genérico-Volátil;Flanquear genérico;"Use Flanquear com um personagem no time, mesmo que ele não tenha essa palavra-chave nativamente; uma tática simples, aplicável a qualquer formação.";;"Item genérico que concede Flanquear, sem afinidade de tipo. Efeito determinístico.";item-reviravolta-tatica-v1.png;"Duas silhuetas indistintas trocando de posição em um movimento tático coordenado, setas sutis e neutras indicando o movimento de troca; fundo cinza uniforme; paleta de tons neutros com setas em um leve azul discreto; linha de arte funcional, composição dinâmica e esquemática, sensação de coordenação tática simples. Proporção 1:1"
Provocação Forçada;v1;Genérico-Volátil;Controle de alvo;"Force o oponente a direcionar sua próxima ação de combate ao personagem que você escolher; uma provocação simples, eficaz contra qualquer estratégia.";;"Item genérico de controle de alvo, sem afinidade de tipo. Efeito determinístico.";item-provocacao-forcada-v1.png;"Gesto simples e neutro de desafio, uma mão indistinta apontando diretamente para frente, linhas sutis de foco convergindo na direção apontada; fundo cinza uniforme; paleta neutra com um leve destaque vermelho discreto na direção do gesto; linha de arte funcional, composição direta, sensação de comando simples e imediato. Proporção 1:1"
Golpe Ignorante;v1;Genérico-Volátil;Ignorar Defesa;"A próxima ação de dano do personagem equipado usa Ignorar Defesa; um golpe que não reconhece guarda alguma, de nenhuma escola.";;"Item genérico que concede Ignorar Defesa, sem afinidade de tipo. Efeito determinístico.";item-golpe-ignorante-v1.png;"Punho neutro em movimento de golpe atravessando uma barreira simples e genérica sem qualquer resistência visível, rachaduras discretas se espalhando a partir do ponto de impacto; fundo cinza uniforme; paleta neutra com um leve branco-impacto; linha de arte funcional, composição de impacto direto, sensação de força que ignora qualquer obstáculo genérico. Proporção 1:1"
Filtragem de Baralho;v1;Genérico-Volátil;Filtragem de deck;"Reciclar Recursos (2/1): descarte 2 cartas de qualquer tipo para comprar 1 carta; uma filtragem simples, sem amarra de escola de poder.";;"Item genérico de filtragem de mão/deck, sem afinidade de tipo. Efeito determinístico.";item-filtragem-de-baralho-v1.png;"Duas cartas genéricas e neutras sendo descartadas em um monte, enquanto uma terceira carta é puxada do topo de um baralho simples; fundo cinza uniforme; paleta neutra de tons de papel e uma leve borda dourada discreta nas cartas; linha de arte funcional, composição simples e clara, sensação de troca equilibrada de recursos. Proporção 1:1"
Reserva de Emergência;v1;Genérico-Volátil;Filtragem de Fonte;"Reciclar Fonte (1/1): descarte 1 Fonte de Energia para comprar 1 carta; uma reserva simples para quando os recursos usuais não bastam.";;"Item genérico de filtragem de Fontes de Energia, sem afinidade de tipo. Efeito determinístico.";item-reserva-de-emergencia-v1.png;"Uma única carta de Fonte de Energia genérica sendo descartada, substituída imediatamente por uma nova carta sendo puxada do topo de um baralho neutro; fundo cinza uniforme; paleta neutra de tons discretos; linha de arte funcional, composição simples e direta, sensação de troca prática e imediata. Proporção 1:1"
Vislumbre Alheio;v1;Genérico-Volátil;Prever genérico;"Prever (2) no deck do oponente, sem amarra de tipo; um vislumbre simples do que está por vir, não importa de onde venha.";;"Item genérico de Prever, sem afinidade de tipo. Efeito determinístico.";item-vislumbre-alheio-v1.png;"Duas cartas genéricas e neutras do topo de um baralho alheio sendo reveladas e reorganizadas por mãos indistintas; fundo cinza uniforme; paleta neutra de tons de papel; linha de arte funcional, composição simples e clara, sensação de visão discreta sobre o que vem a seguir. Proporção 1:1"
Investida Dupla;v1;Genérico-Volátil;Duplicar genérico;"Duplicar (1): descarte 1 carta da mão para usar a ação do personagem equipado uma segunda vez; uma investida simples que repete o golpe, não importa a origem da força original.";;"Item genérico de Duplicar, sem afinidade de tipo. Efeito determinístico.";item-investida-dupla-v1.png;"Silhueta neutra e indistinta em pleno movimento de golpe duplicado, um leve efeito de eco visual mostrando o mesmo movimento repetido em sequência rápida; fundo cinza uniforme; paleta neutra com um leve rastro azul-eco discreto; linha de arte funcional, composição dinâmica, sensação de repetição imediata e eficiente. Proporção 1:1"
Barreira Instantânea;v1;Genérico-Volátil;Escudo pontual;"O personagem alvo ganha 3 tokens de Escudo até o fim do turno; uma barreira simples, erguida instantaneamente, sem escola de origem.";;"Item genérico de Escudo pontual, sem afinidade de tipo. Efeito determinístico.";item-barreira-instantanea-v1.png;"Barreira translúcida e neutra se erguendo rapidamente ao redor de uma silhueta indistinta, superfície com um leve brilho uniforme sugerindo proteção temporária; fundo cinza uniforme; paleta neutra com um leve azul-proteção discreto; linha de arte funcional, composição direta e protetora, sensação de defesa instantânea e confiável. Proporção 1:1"
Fio da Sorte;v1;Genérico-Volátil;Aposte genérico;"Aposte (1): se ganhar, cure 3 de Vida ao personagem equipado; se perder, ele sofre 1 ponto de dano; um fio simples que decide seu próprio destino no lance da sorte.";;"Item genérico que usa Aposte (1), sem afinidade de tipo — um dos poucos itens genéricos com a mecânica de assinatura do sistema. Efeito com Aposte, coerente com sua raridade controlada.";item-fio-da-sorte-v1.png;"Fio simples e neutro se dividindo em dois caminhos visuais distintos, um levando a um brilho verde-cura suave e outro a uma sombra vermelho-dano discreta; fundo cinza uniforme; paleta neutra com os dois desfechos indicados sutilmente pelas cores; linha de arte funcional, composição bifurcada e simétrica, sensação de risco equilibrado. Proporção 1:1"
Reforço de Retaguarda;v1;Genérico-Volátil;Buff defensivo de time;"Um personagem no time ganha +2 de Defesa até o fim do turno; um reforço simples para quem segura a retaguarda, não importa a formação.";;"Item genérico de suporte posicional, sem afinidade de tipo. Efeito determinístico.";item-reforco-de-retaguarda-v1.png;"Silhueta neutra na posição de retaguarda recebendo um leve brilho protetor ao redor do corpo, postura reforçada e mais firme; fundo cinza uniforme; paleta neutra com um leve azul-proteção discreto; linha de arte funcional, composição estável, sensação de suporte defensivo imediato. Proporção 1:1"
Chamado Inesperado;v1;Genérico-Volátil;Tag genérico;"Altere um personagem do time para a posição principal; um chamado simples, que qualquer um pode responder quando chega a vez.";;"Item genérico de Tag, sem exigir item com tag específica, sem afinidade de tipo. Efeito determinístico.";item-chamado-inesperado-v1.png;"Duas silhuetas neutras trocando de posição entre a linha de frente e a retaguarda, seta sutil indicando a troca de posições; fundo cinza uniforme; paleta neutra com um leve destaque dourado discreto na seta; linha de arte funcional, composição dinâmica e esquemática, sensação de troca de responsabilidade simples e imediata. Proporção 1:1"
Grito de Combate Neutro;v1;Genérico-Volátil;Buff de time em combate;"Todo o seu time ganha +1 de Atk até o fim do combate atual; um grito simples, sem escola de origem, que qualquer time pode entoar.";;"Item genérico de buff de time em escopo reduzido (combate atual, não turno inteiro), para não competir com o Grito de Guerra do Povo temático de Solar Comum. Efeito determinístico.";item-grito-de-combate-neutro-v1.png;"Grupo indistinto e neutro de silhuetas erguendo os punhos juntas em um grito coordenado, sem bandeiras ou símbolos de tipo específico; fundo cinza uniforme; paleta neutra com um leve brilho dourado discreto ao redor do grupo; linha de arte funcional, composição coletiva e simples, sensação de força unificada momentânea. Proporção 1:1"
